Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
21000,05238,05238,021000052387,Kraft Barbecue Sauce Sweet Honey                                 ,CS,12,18 OZ       ,Soup/Sauces/Canned Meals/Meats,$16.30,337
21000,65886,65886,021000658862,Kraft Deluxe Mac N Cheese                                        ,CS,24,14 OZ       ,Rices/pastas /side dishes     ,$65.45,360
21000,65893,72516,021000658930,Kraft Velveeta Shells & Cheese                                   ,CS,24,12 OZ       ,Rices/pastas /side dishes     ,$66.95,1
21000,65894,65894,021000658947,Kraft Mac N'cheese Family Size                                   ,CS,24,14.5 OZ     ,Rices/pastas /side dishes     ,$56.26,73
21200,01113,01113,021200011139,"Scotch Magic Tape Transparent 75X650""                            ",CS,144,650 IN      ,Batteries/ general merch      ,$180.49,6
21500,00300,00300,021500003001,Lawry's Seasoned Salt                                            ,CS,12,16 OZ       ,Spice/Condmnt/Drsng/Gravy/Oil ,$32.84,1827
21732,00302,00302,621732003024,MA STRICTLY CURLS LOTION                                         ,CS,6,8.3 OZ      ,Grocery- other                ,$21.79,214
21732,00326,00326,621732003260,MA STRICTLY CURLS CURL CREAM                                     ,CS,6,6 OZ        ,Grocery- other                ,$19.50,1
21732,53106,53106,621732531060,MA COCO OIL COND TREATMENT                                       ,CS,12,1.69 OZ     ,Grocery- other                ,$14.18,200
21732,53121,53121,621732531213,MA COCOA & SHEA CURL CREAM                                       ,CS,6,5.9 OZ      ,Grocery- other                ,$19.15,92
21732,60022,60022,621732600223,MA STRENGTH GROW LONG SH                                         ,CS,6,8.4 OZ      ,Grocery- other                ,$19.30,62
22000,00484,21484,022000004840,Orbit Sugar Free Gum Spearmint                                   ,CS,144,12/12CT     ,Gum/Mints                     ,$110.36,7
22000,00486,21486,022000004864,Orbit Sugar Free Gum Peppermint                                  ,CS,144,12/12CT     ,Gum/Mints                     ,$95.97,847
22000,00488,21488,022000004888,Orbit Sugar Free Gum Wintermint                                  ,CS,144,12/12CT     ,Gum/Mints                     ,$110.36,100
22000,00489,21489,022000004895,Orbit Sugar Free Gum Bubblemint                                  ,CS,144,12/12CT     ,Gum/Mints                     ,$74.46,200
22000,15586,25586,022000155863,Orbit Gum Peppermint 3 Pack                                      ,CS,20,3 PK        ,Gum/Mints                     ,$44.54,1
22224,20103,21113,022224201032,W WALLABY WATERMELLON LICORI                                     ,CS,10,10 OZ       ,Grocery- other                ,$22.13,492
22224,20648,20648,022224206488,W WALLABY SOURRAGEOUS                                            ,CS,10,8 OZ        ,Grocery- other                ,$22.13,236
22400,00521,64015,022400005218,TRES TWO XTRA HOLD HAIRSPRAY                                     ,CS,6,11 OZ       ,Grocery- other                ,$27.11,106
22400,00522,64016,022400005225,TRES TWO ULTRA FINE MIST HS                                      ,CS,6,11 OZ       ,Grocery- other                ,$26.47,2
22400,00773,00773,022400007731,TRES KERATIN SMOOTH COND                                         ,CS,4,20 OZ       ,Grocery- other                ,$11.24,436
22400,00777,00777,022400007779,TRES KERATIN REPAIR SHAMPOO                                      ,CS,4,20 OZ       ,Grocery- other                ,$11.44,1
22400,39366,39366,022400393667,Tresemme Anti Breakage Shampoo                                   ,CS,6,28 OZ       ,Shampoo/Condtnr/Hair Color    ,$16.62,3
22400,39372,39372,022400393728,Tresemme 24Hr Healthy Volume Conditioner                         ,CS,6,28 OZ       ,Shampoo/Condtnr/Hair Color    ,$18.31,352
